C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 1, total of 500, loss 0.006785213947296143
communicate round 2, total of 500, loss 0.008291455917060375
communicate round 3, total of 500, loss 0.007436943706125021
communicate round 4, total of 500, loss 0.007202185690402985
communicate round 5, total of 500, loss 0.007088010665029287
communicate round 6, total of 500, loss 0.007926794700324535
communicate round 7, total of 500, loss 0.006677720230072737
communicate round 8, total of 500, loss 0.006660530809313059
communicate round 9, total of 500, loss 0.007932616397738457
communicate round 10, total of 500, loss 0.006670095957815647
communicate round 11, total of 500, loss 0.006934012286365032
communicate round 12, total of 500, loss 0.007135666906833649
communicate round 13, total of 500, loss 0.00826262030750513
communicate round 14, total of 500, loss 0.0074331616051495075
communicate round 15, total of 500, loss 0.008387456648051739
communicate round 16, total of 500, loss 0.006544746924191713
communicate round 17, total of 500, loss 0.006616275757551193
communicate round 18, total of 500, loss 0.006790171843022108
communicate round 19, total of 500, loss 0.006527511868625879
communicate round 20, total of 500, loss 0.006572290789335966
communicate round 21, total of 500, loss 0.007494423538446426
communicate round 22, total of 500, loss 0.006474347785115242
communicate round 23, total of 500, loss 0.006463327445089817
communicate round 24, total of 500, loss 0.007069486193358898
communicate round 25, total of 500, loss 0.006763818673789501
communicate round 26, total of 500, loss 0.006706660147756338
communicate round 27, total of 500, loss 0.00643254304304719
communicate round 28, total of 500, loss 0.006646848749369383
communicate round 29, total of 500, loss 0.008454874157905579
communicate round 30, total of 500, loss 0.007041142787784338
communicate round 31, total of 500, loss 0.006749064661562443
communicate round 32, total of 500, loss 0.0064085801132023335
communicate round 33, total of 500, loss 0.006554672494530678
communicate round 34, total of 500, loss 0.00733562046661973
communicate round 35, total of 500, loss 0.006727110128849745
communicate round 36, total of 500, loss 0.006535356864333153
communicate round 37, total of 500, loss 0.006732286885380745
communicate round 38, total of 500, loss 0.010682572610676289
communicate round 39, total of 500, loss 0.007775643840432167
communicate round 40, total of 500, loss 0.006652768701314926
communicate round 41, total of 500, loss 0.006391562055796385
communicate round 42, total of 500, loss 0.010800427757203579
communicate round 43, total of 500, loss 0.007428745273500681
communicate round 44, total of 500, loss 0.006261657457798719
communicate round 45, total of 500, loss 0.0063679092563688755
communicate round 46, total of 500, loss 0.006876499392092228
communicate round 47, total of 500, loss 0.006321914494037628
communicate round 48, total of 500, loss 0.008461148478090763
communicate round 49, total of 500, loss 0.006332763936370611
communicate round 50, total of 500, loss 0.0062098694033920765
communicate round 51, total of 500, loss 0.006433036644011736
communicate round 52, total of 500, loss 0.007101329509168863
communicate round 53, total of 500, loss 0.006347173359245062
communicate round 54, total of 500, loss 0.0064106592908501625
communicate round 55, total of 500, loss 0.0063614677637815475
communicate round 56, total of 500, loss 0.006453273352235556
communicate round 57, total of 500, loss 0.006236687768250704
communicate round 58, total of 500, loss 0.006405575200915337
communicate round 59, total of 500, loss 0.007135211490094662
communicate round 60, total of 500, loss 0.00638954434543848
communicate round 61, total of 500, loss 0.008557792752981186
communicate round 62, total of 500, loss 0.006876661907881498
communicate round 63, total of 500, loss 0.007754680700600147
communicate round 64, total of 500, loss 0.006305738817900419
communicate round 65, total of 500, loss 0.008528398349881172
communicate round 66, total of 500, loss 0.010181962512433529
communicate round 67, total of 500, loss 0.006270487792789936
communicate round 68, total of 500, loss 0.006328971590846777
communicate round 69, total of 500, loss 0.006497757509350777
communicate round 70, total of 500, loss 0.006237390451133251
communicate round 71, total of 500, loss 0.007843012921512127
communicate round 72, total of 500, loss 0.006090243812650442
communicate round 73, total of 500, loss 0.006426654756069183
communicate round 74, total of 500, loss 0.00825723260641098
communicate round 75, total of 500, loss 0.006024567876011133
communicate round 76, total of 500, loss 0.006026051007211208
communicate round 77, total of 500, loss 0.007404156029224396
communicate round 78, total of 500, loss 0.006057347171008587
communicate round 79, total of 500, loss 0.013038692995905876
communicate round 80, total of 500, loss 0.005931505933403969
communicate round 81, total of 500, loss 0.005909922998398542
communicate round 82, total of 500, loss 0.006607069633901119
communicate round 83, total of 500, loss 0.0066255624406039715
communicate round 84, total of 500, loss 0.010080679319798946
communicate round 85, total of 500, loss 0.006851997692137957
communicate round 86, total of 500, loss 0.008910519070923328
communicate round 87, total of 500, loss 0.005906300153583288
communicate round 88, total of 500, loss 0.005952251143753529
communicate round 89, total of 500, loss 0.005827457644045353
communicate round 90, total of 500, loss 0.0062562222592532635
communicate round 91, total of 500, loss 0.006344106514006853
communicate round 92, total of 500, loss 0.005962160881608725
communicate round 93, total of 500, loss 0.008047801442444324
communicate round 94, total of 500, loss 0.005792712327092886
communicate round 95, total of 500, loss 0.005849490407854319
communicate round 96, total of 500, loss 0.0057997009716928005
communicate round 97, total of 500, loss 0.011005932465195656
communicate round 98, total of 500, loss 0.007064386736601591
communicate round 99, total of 500, loss 0.005814575590193272
communicate round 100, total of 500, loss 0.005909232888370752
communicate round 101, total of 500, loss 0.006861417554318905
communicate round 102, total of 500, loss 0.00622791750356555
communicate round 103, total of 500, loss 0.006189952604472637
communicate round 104, total of 500, loss 0.005769727751612663
communicate round 105, total of 500, loss 0.006005093455314636
communicate round 106, total of 500, loss 0.008900030516088009
communicate round 107, total of 500, loss 0.005893080495297909
communicate round 108, total of 500, loss 0.00585052277892828
communicate round 109, total of 500, loss 0.011777890846133232
communicate round 110, total of 500, loss 0.0077573214657604694
communicate round 111, total of 500, loss 0.013106536120176315
communicate round 112, total of 500, loss 0.006013662554323673
communicate round 113, total of 500, loss 0.005797185003757477
communicate round 114, total of 500, loss 0.005612850189208984
communicate round 115, total of 500, loss 0.005614235997200012
communicate round 116, total of 500, loss 0.0056791603565216064
communicate round 117, total of 500, loss 0.006644158158451319
communicate round 118, total of 500, loss 0.0056692142970860004
communicate round 119, total of 500, loss 0.00588764064013958
communicate round 120, total of 500, loss 0.007501970045268536
communicate round 121, total of 500, loss 0.007072046864777803
communicate round 122, total of 500, loss 0.008613893762230873
communicate round 123, total of 500, loss 0.005976852495223284
communicate round 124, total of 500, loss 0.005623708479106426
communicate round 125, total of 500, loss 0.005964471492916346
communicate round 126, total of 500, loss 0.005591072607785463
communicate round 127, total of 500, loss 0.0067899408750236034
communicate round 128, total of 500, loss 0.0058622052893042564
communicate round 129, total of 500, loss 0.005564731080085039
communicate round 130, total of 500, loss 0.005853804759681225
communicate round 131, total of 500, loss 0.005843093153089285
communicate round 132, total of 500, loss 0.010147378779947758
communicate round 133, total of 500, loss 0.006689875852316618
communicate round 134, total of 500, loss 0.005980486981570721
communicate round 135, total of 500, loss 0.005665708798915148
communicate round 136, total of 500, loss 0.0058379266411066055
communicate round 137, total of 500, loss 0.005555420182645321
communicate round 138, total of 500, loss 0.005542730912566185
communicate round 139, total of 500, loss 0.006056261248886585
communicate round 140, total of 500, loss 0.011989081278443336
communicate round 141, total of 500, loss 0.00557923736050725
communicate round 142, total of 500, loss 0.00547646451741457
communicate round 143, total of 500, loss 0.00570820365101099
communicate round 144, total of 500, loss 0.005945396609604359
communicate round 145, total of 500, loss 0.005665978416800499
communicate round 146, total of 500, loss 0.005494869314134121
communicate round 147, total of 500, loss 0.008316279388964176
communicate round 148, total of 500, loss 0.006029792129993439
communicate round 149, total of 500, loss 0.00558440899476409
communicate round 150, total of 500, loss 0.006249534897506237
communicate round 151, total of 500, loss 0.005399095825850964
communicate round 152, total of 500, loss 0.005409013479948044
communicate round 153, total of 500, loss 0.006947468966245651
communicate round 154, total of 500, loss 0.005367754492908716
communicate round 155, total of 500, loss 0.005675925873219967
