C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 1, total of 600, loss 0.008310218341648579
communicate round 2, total of 600, loss 0.007641167379915714
communicate round 3, total of 600, loss 0.008011454716324806
communicate round 4, total of 600, loss 0.006519435904920101
communicate round 5, total of 600, loss 0.008092481642961502
communicate round 6, total of 600, loss 0.006416224408894777
communicate round 7, total of 600, loss 0.0064104655757546425
communicate round 8, total of 600, loss 0.007075161673128605
communicate round 9, total of 600, loss 0.009409843012690544
communicate round 10, total of 600, loss 0.006308328825980425
communicate round 11, total of 600, loss 0.006131052505224943
communicate round 12, total of 600, loss 0.005984399933367968
communicate round 13, total of 600, loss 0.012676374986767769
communicate round 14, total of 600, loss 0.006113165058195591
communicate round 15, total of 600, loss 0.005741159897297621
communicate round 16, total of 600, loss 0.005666243378072977
communicate round 17, total of 600, loss 0.005709557794034481
communicate round 18, total of 600, loss 0.005984253715723753
communicate round 19, total of 600, loss 0.0058237891644239426
communicate round 20, total of 600, loss 0.008812805637717247
communicate round 21, total of 600, loss 0.005526481196284294
communicate round 22, total of 600, loss 0.005972313694655895
communicate round 23, total of 600, loss 0.0055672116577625275
communicate round 24, total of 600, loss 0.0061599742621183395
communicate round 25, total of 600, loss 0.005470944568514824
communicate round 26, total of 600, loss 0.005336717236787081
communicate round 27, total of 600, loss 0.006753019988536835
communicate round 28, total of 600, loss 0.005572543945163488
communicate round 29, total of 600, loss 0.005402181763201952
communicate round 30, total of 600, loss 0.005169752053916454
communicate round 31, total of 600, loss 0.005048105958849192
communicate round 32, total of 600, loss 0.005630001425743103
communicate round 33, total of 600, loss 0.005644884426146746
communicate round 34, total of 600, loss 0.004943717271089554
communicate round 35, total of 600, loss 0.0049561625346541405
communicate round 36, total of 600, loss 0.005868369713425636
communicate round 37, total of 600, loss 0.0049539292231202126
communicate round 38, total of 600, loss 0.005056313704699278
communicate round 39, total of 600, loss 0.004793901927769184
communicate round 40, total of 600, loss 0.004938220139592886
communicate round 41, total of 600, loss 0.010221761651337147
communicate round 42, total of 600, loss 0.004663284868001938
communicate round 43, total of 600, loss 0.004638581071048975
communicate round 44, total of 600, loss 0.004609064664691687
communicate round 45, total of 600, loss 0.005001317244023085
communicate round 46, total of 600, loss 0.004574008751660585
communicate round 47, total of 600, loss 0.00452834228053689
communicate round 48, total of 600, loss 0.005261338781565428
communicate round 49, total of 600, loss 0.005366147495806217
communicate round 50, total of 600, loss 0.004362627398222685
communicate round 51, total of 600, loss 0.004527003038674593
communicate round 52, total of 600, loss 0.0043264999985694885
communicate round 53, total of 600, loss 0.004321588668972254
communicate round 54, total of 600, loss 0.004324228502810001
communicate round 55, total of 600, loss 0.004386481363326311
communicate round 56, total of 600, loss 0.004334073048084974
communicate round 57, total of 600, loss 0.004329891409724951
communicate round 58, total of 600, loss 0.01003950648009777
communicate round 59, total of 600, loss 0.004334824625402689
communicate round 60, total of 600, loss 0.0041978619992733
communicate round 61, total of 600, loss 0.005614244844764471
communicate round 62, total of 600, loss 0.004321334417909384
communicate round 63, total of 600, loss 0.004195579327642918
communicate round 64, total of 600, loss 0.0046680825762450695
communicate round 65, total of 600, loss 0.004387104418128729
communicate round 66, total of 600, loss 0.004957812838256359
communicate round 67, total of 600, loss 0.005077301990240812
communicate round 68, total of 600, loss 0.004026588052511215
communicate round 69, total of 600, loss 0.0041822106577456
communicate round 70, total of 600, loss 0.004066172055900097
communicate round 71, total of 600, loss 0.004092700779438019
communicate round 72, total of 600, loss 0.005269892979413271
communicate round 73, total of 600, loss 0.004665174055844545
communicate round 74, total of 600, loss 0.004615858197212219
communicate round 75, total of 600, loss 0.004064241889864206
communicate round 76, total of 600, loss 0.004315204918384552
communicate round 77, total of 600, loss 0.004111717455089092
communicate round 78, total of 600, loss 0.004014104604721069
communicate round 79, total of 600, loss 0.004120956175029278
communicate round 80, total of 600, loss 0.0041142795234918594
communicate round 81, total of 600, loss 0.0040337140671908855
communicate round 82, total of 600, loss 0.004544262308627367
communicate round 83, total of 600, loss 0.004127560183405876
communicate round 84, total of 600, loss 0.004444814287126064
communicate round 85, total of 600, loss 0.004147338215261698
communicate round 86, total of 600, loss 0.004144785460084677
communicate round 87, total of 600, loss 0.004295972641557455
communicate round 88, total of 600, loss 0.0039338842034339905
communicate round 89, total of 600, loss 0.006345152389258146
communicate round 90, total of 600, loss 0.0038927863352000713
communicate round 91, total of 600, loss 0.004172215703874826
communicate round 92, total of 600, loss 0.0038811773993074894
communicate round 93, total of 600, loss 0.004022210370749235
communicate round 94, total of 600, loss 0.0038602997083216906
communicate round 95, total of 600, loss 0.0038372729904949665
communicate round 96, total of 600, loss 0.004193814005702734
communicate round 97, total of 600, loss 0.0038612461648881435
communicate round 98, total of 600, loss 0.0038217201363295317
communicate round 99, total of 600, loss 0.0045483005233109
communicate round 100, total of 600, loss 0.004159632138907909
communicate round 101, total of 600, loss 0.004957037046551704
communicate round 102, total of 600, loss 0.003786549437791109
communicate round 103, total of 600, loss 0.003772350959479809
communicate round 104, total of 600, loss 0.004408173728734255
communicate round 105, total of 600, loss 0.003937962464988232
communicate round 106, total of 600, loss 0.0041731055825948715
communicate round 107, total of 600, loss 0.004607818555086851
communicate round 108, total of 600, loss 0.0038159354589879513
communicate round 109, total of 600, loss 0.00396736478433013
communicate round 110, total of 600, loss 0.004596875049173832
communicate round 111, total of 600, loss 0.004028890281915665
communicate round 112, total of 600, loss 0.004084611777216196
communicate round 113, total of 600, loss 0.0039340355433523655
communicate round 114, total of 600, loss 0.003835455747321248
communicate round 115, total of 600, loss 0.0037548041436821222
communicate round 116, total of 600, loss 0.004323700908571482
communicate round 117, total of 600, loss 0.003919410984963179
communicate round 118, total of 600, loss 0.0038025788962841034
communicate round 119, total of 600, loss 0.003885739715769887
communicate round 120, total of 600, loss 0.003729194402694702
communicate round 121, total of 600, loss 0.003734632395207882
communicate round 122, total of 600, loss 0.003772370982915163
communicate round 123, total of 600, loss 0.003719429951161146
communicate round 124, total of 600, loss 0.003851361107081175
communicate round 125, total of 600, loss 0.004232347942888737
communicate round 126, total of 600, loss 0.006698892451822758
communicate round 127, total of 600, loss 0.003682487178593874
communicate round 128, total of 600, loss 0.004776760470122099
communicate round 129, total of 600, loss 0.004244600888341665
communicate round 130, total of 600, loss 0.0037032710388302803
communicate round 131, total of 600, loss 0.0036324087996035814
communicate round 132, total of 600, loss 0.003754988545551896
communicate round 133, total of 600, loss 0.0036599563900381327
communicate round 134, total of 600, loss 0.004139027092605829
communicate round 135, total of 600, loss 0.0040170359425246716
communicate round 136, total of 600, loss 0.004250371363013983
